"Page title", "URL"
"Ubuntu Advantage service description | Ubuntu", "https://www.ubuntu.com/legal/ubuntu-advantage-service-description/"
"Ubuntu Advantage | Ubuntu", "https://www.ubuntu.com/legal/ubuntu-advantage/"
"Ubuntu Pro service terms | Ubuntu", "https://www.ubuntu.com/legal/ubuntu-advantage/ua-terms/"
"Ubuntu Assurance | Ubuntu Advantage | Ubuntu", "https://www.ubuntu.com/legal/ubuntu-advantage-assurance/"
"UA 略式サービス契約 | Ubuntu", "https://www.ubuntu.com/legal/ubuntu-advantage/ua-terms-ja/"
"Developer terms and conditions | Ubuntu", "https://www.ubuntu.com/legal/developer-terms-and-conditions/"
"Thank you | Intellectual property policy | Terms and policies | Ubuntu", "https://www.ubuntu.com/legal/terms-and-policies/thank-you/"
"Intellectual property rights policy | Terms and policies | Ubuntu", "https://www.ubuntu.com/legal/intellectual-property-policy/"
"Intellectual property rights policy | Terms and policies | Ubuntu", "https://www.ubuntu.com/legal/intellectual-property-policy/2013-05-14/"
"Terms and policies | Ubuntu", "https://www.ubuntu.com/legal/terms-and-policies/"
"Terms and conditions | Ubuntu and Canonical Legal | Ubuntu", "https://www.ubuntu.com/legal/terms/"
"Privacy policy | Terms and policies | Ubuntu", "/legal/data-privacy/"
"Privacy policy | Terms and policies | Ubuntu", "https://www.ubuntu.com/legal/data-privacy/2013-03-25/"
"Third parties | Privacy policy | Terms and policies | Ubuntu", "https://www.ubuntu.com/legal/data-privacy/third-parties/"
"Confidentiality agreement | Ubuntu", "https://www.ubuntu.com/legal/confidentiality-agreement/"
"Online account tools | Ubuntu", "https://www.ubuntu.com/legal/online-account-terms/"
"Livepatch Terms of Service | Ubuntu", "https://www.ubuntu.com/legal/livepatch-terms-of-service/"
"JAAS Beta Terms of Service | Ubuntu", "https://www.ubuntu.com/legal/jaas-beta-terms-of-service/"
"Contact us | Intellectual property policy | Terms and policies | Ubuntu", "https://www.ubuntu.com/legal/terms-and-policies/contact-us/"
"U1 and Software Centre - Terms of Service | Ubuntu", "https://www.ubuntu.com/legal/terms-of-service/"
"Ubuntu legal terms and policies | Ubuntu", "https://www.ubuntu.com/legal/"
"Thank you for submitting your contributor licence agreement | Ubuntu and Canonical legal | Ubuntu", "https://www.ubuntu.com/legal/contributors/thank-you/"
"Contributor licence agreement | Ubuntu", "https://www.ubuntu.com/legal/contributors/"
"Contributor licence agreement FAQ | Contributors | Ubuntu", "https://www.ubuntu.com/legal/contributors/licence-agreement-faq/"
"Submit contributor agreement | Contributors | Ubuntu", "https://www.ubuntu.com/legal/contributors/submit/"
"BootStack services description | Ubuntu", "https://www.ubuntu.com/legal/managed-services-description/"
"BootStack | Ubuntu", "https://www.ubuntu.com/legal/managed-services/"
"BootStack privacy information | Ubuntu", "https://www.ubuntu.com/legal/managed-services-privacy/"
"Dell Ubuntu Advantage Reseller end user terms | Ubuntu", "https://www.ubuntu.com/legal/ua-dell-tc/"
"Ubuntu Pro service terms | 2016-05-20 | Ubuntu", "https://www.ubuntu.com/legal/ubuntu-advantage-service-terms/2016-05-20/"
"UA 略式サービス契約 | Ubuntu", "https://www.ubuntu.com/legal/ubuntu-advantage-service-terms/ja/"
"Ubuntu Pro service terms | Ubuntu", "https://www.ubuntu.com/legal/ubuntu-advantage-service-terms/"
"Ubuntu Pro service terms | 2015-09-09 | Ubuntu", "https://www.ubuntu.com/legal/ubuntu-advantage-service-terms/2015-09-09/"
"Ubuntu Pro service terms | 2015-06-24 | Ubuntu", "https://www.ubuntu.com/legal/ubuntu-advantage-service-terms/2015-06-24/"
"Miracle Linux - UA Ubuntu Pro service terms | Ubuntu", "https://www.ubuntu.com/legal/ua-miracle-tc/"
"Thank you | Support | Ubuntu", "https://www.ubuntu.com/support/thank-you/"
"Support and management tools | Ubuntu", "https://www.ubuntu.com/support/"
"Community support | Ubuntu", "https://www.ubuntu.com/support/community-support/"
"Plans and pricing | Support | Ubuntu", "https://www.ubuntu.com/pricing/"
"Contact Canonical | Support | Ubuntu", "https://www.ubuntu.com/support/contact-us/"
"404 Page not found | Ubuntu", "https://www.ubuntu.com/404/"
"Server error | Ubuntu", "https://www.ubuntu.com/500/"
